country,suicides normalised,gdp_per_capita ($)
Albania,28.89875,15337.125
Antigua and Barbuda,5.598125,105787.875
Argentina,121.7059375,92001.375
Armenia,30.5065625,17450.875
Aruba,49.89125,127163.625
Australia,146.1690625,368734.5
Austria,283.6321875,409000.0
Azerbaijan,11.1325,6030.75
Bahamas,10.75875,222838.875
Bahrain,14.60125,142061.25
Barbados,27.8478125,114853.125
Belarus,244.7228125,26254.5
Belgium,246.890625,372775.875
Belize,65.4215625,42067.875
Bosnia and Herzegovina,3.4628125,3808.125
Brazil,67.96,70813.5
Bulgaria,219.2525,40954.875
Cabo Verde,4.1825,1546.5
Canada,135.585,335901.375
Chile,122.55125,87106.875
Colombia,62.7934375,43116.75
Costa Rica,79.80375,57934.125
Croatia,186.96375,84788.6875
Cuba,190.9984375,39160.5
Cyprus,18.320625,153904.5
Czech Republic,186.0309375,124468.5625
Denmark,116.3015625,406724.25
Dominica,0.0,556.875
Ecuador,73.2878125,38202.75
El Salvador,94.873125,22956.0
Estonia,214.805625,89586.75
Fiji,21.058125,16142.25
Finland,247.6284375,385717.5
France,243.8515625,354166.5
Georgia,34.886875,15618.375
Germany,151.7090625,342851.25
Greece,47.25375,197850.375
Grenada,20.65625,60153.625
Guatemala,35.834375,25464.75
Guyana,207.9975,15702.375
Hungary,317.3771875,90772.375
Iceland,152.804375,468842.375
Ireland,121.3040625,385097.25
Israel,104.0615625,268833.375
Italy,99.0271875,309255.0
Jamaica,3.32625,21045.375
Japan,250.7884375,423121.5
Kazakhstan,297.485,51958.875
Kiribati,27.4534375,3613.125
Kuwait,11.1228125,260803.125
Kyrgyzstan,139.290625,7027.125
Latvia,230.4171875,70568.625
Lithuania,330.9025,75984.5
Luxembourg,192.3925,799781.25
Macau,5.366875,6780.375
Maldives,5.1274999999999995,19083.375
Malta,58.5003125,163266.375
Mauritius,139.518125,65735.75
Mexico,54.7246875,82984.5
Mongolia,5.7621875,1295.3125
Montenegro,37.3134375,15733.5
Netherlands,127.07875,426343.875
New Zealand,156.51,242289.375
Nicaragua,14.775625,4564.875
Norway,145.58625,644845.5
Oman,0.828125,23333.25
Panama,54.501875,62123.625
Paraguay,42.6990625,23953.5
Philippines,13.6196875,8663.625
Poland,137.425625,73318.125
Portugal,114.7925,143535.0
Puerto Rico,118.415,213349.5
Qatar,9.9421875,376895.25
Republic of Korea,292.2015625,172064.625
Romania,130.3609375,50010.75
Russia,353.2853125,66003.0
Saint Kitts and Nevis,0.0,6215.625
Saint Lucia,75.62875,60784.875
Saint Vincent and Grenadines,53.957187499999996,46449.75
San Marino,4.550625,60371.625
Serbia,149.6078125,30181.125
Seychelles,50.490625,71926.125
Singapore,198.155625,442334.25
Slovakia,103.6925,86839.5
Slovenia,219.144375,146807.625
South Africa,7.2340625,41921.25
Spain,109.658125,243917.625
Sri Lanka,145.5925,3730.125
Suriname,223.8225,45695.625
Sweden,163.99125,462687.875
Switzerland,149.8146875,495981.375
Thailand,73.8334375,37284.4375
Trinidad and Tobago,139.9846875,89394.0
Turkey,6.2240625,31852.5
Turkmenistan,93.5853125,28471.875
Ukraine,279.114375,19609.125
United Arab Emirates,2.9653125,94864.5
United Kingdom,87.21625,370934.625
United States of America,160.6553125,456509.25
Uruguay,204.3425,80031.75
Uzbekistan,66.8178125,8053.5
