country,year,suicides_no
France,1985,12501
France,1986,12529
France,1987,12161
France,1988,11599
France,1989,11715
France,1990,11403
France,1991,11502
France,1992,11644
France,1993,12251
France,1994,12041
France,1995,11819
France,1996,11279
France,1997,11139
France,1998,10534
France,1999,10268
France,2000,10849
France,2001,10449
France,2002,10643
France,2003,10871
France,2004,10804
France,2005,10713
France,2006,10423
France,2007,10127
France,2008,10353
France,2009,10499
France,2010,10379
France,2011,10408
France,2012,9743
France,2013,9600
France,2014,8881
Japan,1985,23257
Japan,1986,25484
Japan,1987,23663
Japan,1988,22676
Japan,1989,21013
Japan,1990,20002
Japan,1991,19780
Japan,1992,20756
Japan,1993,20353
Japan,1994,20744
Japan,1995,21249
Japan,1996,21967
Japan,1997,23280
Japan,1998,31458
Japan,1999,31115
Japan,2000,29989
Japan,2001,29132
Japan,2002,29715
Japan,2003,31881
Japan,2004,30034
Japan,2005,30369
Japan,2006,29769
Japan,2007,30665
Japan,2008,30073
Japan,2009,30523
Japan,2010,29411
Japan,2011,28766
Japan,2012,26338
Japan,2013,25991
Japan,2014,24357
Japan,2015,23092
Russian Federation,1989,37921
Russian Federation,1990,39028
Russian Federation,1991,39281
Russian Federation,1992,45923
Russian Federation,1993,55846
Russian Federation,1994,61420
Russian Federation,1995,60548
Russian Federation,1996,57511
Russian Federation,1997,54746
Russian Federation,1998,51518
Russian Federation,1999,56974
Russian Federation,2000,56619
Russian Federation,2001,56958
Russian Federation,2002,55024
Russian Federation,2003,51445
Russian Federation,2004,49096
Russian Federation,2005,45802
Russian Federation,2006,42614
Russian Federation,2007,41149
Russian Federation,2008,38211
Russian Federation,2009,37408
Russian Federation,2010,33356
Russian Federation,2011,31038
Russian Federation,2012,29643
Russian Federation,2013,28690
Russian Federation,2014,26541
Russian Federation,2015,25432
Ukraine,1987,10050
Ukraine,1988,9751
Ukraine,1989,10887
Ukraine,1990,10645
Ukraine,1991,10700
Ukraine,1992,11666
Ukraine,1993,12469
Ukraine,1994,13826
Ukraine,1995,14541
Ukraine,1996,15160
Ukraine,1997,14903
Ukraine,1998,14789
Ukraine,1999,14363
Ukraine,2000,14467
Ukraine,2001,13131
Ukraine,2002,12536
Ukraine,2003,12313
Ukraine,2004,11256
Ukraine,2005,10621
Ukraine,2006,10013
Ukraine,2007,10032
Ukraine,2008,9454
Ukraine,2009,9715
Ukraine,2010,9089
Ukraine,2011,8973
Ukraine,2012,9058
Ukraine,2014,7968
Ukraine,2015,7574
United States,1985,29446
United States,1986,30892
United States,1987,30783
United States,1988,30388
United States,1989,30218
United States,1990,30895
United States,1991,30790
United States,1992,30471
United States,1993,31084
United States,1994,31123
United States,1995,31272
United States,1996,30879
United States,1997,30517
United States,1998,30558
United States,1999,29183
United States,2000,29343
United States,2001,30607
United States,2002,31645
United States,2003,31477
United States,2004,32428
United States,2005,32629
United States,2006,33292
United States,2007,34596
United States,2008,36030
United States,2009,36900
United States,2010,38362
United States,2011,39508
United States,2012,40596
United States,2013,41143
United States,2014,42769
United States,2015,44189
